TimeStamp;Valor;Període tarifari;Tipus lectura
08/01/2023 08:00;2;6;Real
08/01/2023 09:00;1;6;Real
08/01/2023 10:00;4;6;Real
08/01/2023 11:00;3;6;Real
08/01/2023 12:00;4;6;Real
08/01/2023 13:00;0;6;Real
08/01/2023 14:00;1;6;Real
08/01/2023 15:00;0;6;Real
08/01/2023 16:00;1;6;Real
08/01/2023 17:00;2;6;Real
08/01/2023 18:00;2;6;Real
08/01/2023 19:00;3;6;Real
08/01/2023 20:00;2;6;Real
08/01/2023 21:00;2;6;Real
08/01/2023 22:00;2;6;Real
08/01/2023 23:00;2;6;Real
09/01/2023 00:00;2;6;Real
09/01/2023 01:00;2;6;Real
09/01/2023 02:00;3;6;Real
09/01/2023 03:00;2;6;Real
09/01/2023 04:00;2;6;Real
09/01/2023 05:00;2;6;Real
09/01/2023 06:00;4;6;Real
09/01/2023 07:00;4;6;Real
09/01/2023 08:00;11;2;Real
09/01/2023 09:00;18;1;Real
09/01/2023 10:00;5;1;Real
09/01/2023 11:00;2;1;Real
09/01/2023 12:00;0;1;Real
09/01/2023 13:00;0;1;Real
09/01/2023 14:00;0;2;Real
09/01/2023 15:00;1;2;Real
09/01/2023 16:00;7;2;Real
09/01/2023 17:00;7;2;Real
09/01/2023 18:00;9;1;Real
09/01/2023 19:00;9;1;Real
09/01/2023 20:00;29;1;Real
09/01/2023 21:00;7;1;Real
09/01/2023 22:00;2;2;Real
09/01/2023 23:00;2;2;Real
10/01/2023 00:00;2;6;Real
10/01/2023 01:00;2;6;Real
10/01/2023 02:00;2;6;Real
10/01/2023 03:00;3;6;Real
10/01/2023 04:00;2;6;Real
10/01/2023 05:00;2;6;Real
10/01/2023 06:00;4;6;Real
10/01/2023 07:00;4;6;Real
10/01/2023 08:00;5;2;Real
10/01/2023 09:00;7;1;Real
10/01/2023 10:00;13;1;Real
10/01/2023 11:00;9;1;Real
10/01/2023 12:00;2;1;Real
10/01/2023 13:00;0;1;Real
10/01/2023 14:00;0;2;Real
10/01/2023 15:00;1;2;Real
10/01/2023 16:00;28;2;Real
10/01/2023 17:00;26;2;Real
10/01/2023 18:00;29;1;Real
10/01/2023 19:00;10;1;Real
10/01/2023 20:00;4;1;Real
10/01/2023 21:00;3;1;Real
10/01/2023 22:00;2;2;Real
10/01/2023 23:00;2;2;Real
11/01/2023 00:00;2;6;Real
11/01/2023 01:00;2;6;Real
11/01/2023 02:00;2;6;Real
11/01/2023 03:00;3;6;Real
11/01/2023 04:00;2;6;Real
11/01/2023 05:00;2;6;Real
11/01/2023 06:00;3;6;Real
11/01/2023 07:00;4;6;Real
11/01/2023 08:00;7;2;Real
11/01/2023 09:00;15;1;Real
11/01/2023 10:00;16;1;Real
11/01/2023 11:00;10;1;Real
11/01/2023 12:00;7;1;Real
11/01/2023 13:00;4;1;Real
11/01/2023 14:00;4;2;Real
11/01/2023 15:00;3;2;Real
11/01/2023 16:00;5;2;Real
11/01/2023 17:00;19;2;Real
11/01/2023 18:00;23;1;Real
11/01/2023 19:00;8;1;Real
11/01/2023 20:00;6;1;Real
11/01/2023 21:00;4;1;Real
11/01/2023 22:00;3;2;Real
11/01/2023 23:00;2;2;Real
12/01/2023 00:00;2;6;Real
12/01/2023 01:00;3;6;Real
12/01/2023 02:00;2;6;Real
12/01/2023 03:00;2;6;Real
12/01/2023 04:00;2;6;Real
12/01/2023 05:00;4;6;Real
12/01/2023 06:00;6;6;Real
12/01/2023 07:00;5;6;Real
12/01/2023 08:00;7;2;Real
12/01/2023 09:00;13;1;Real
12/01/2023 10:00;12;1;Real
12/01/2023 11:00;3;1;Real
12/01/2023 12:00;1;1;Real
12/01/2023 13:00;0;1;Real
12/01/2023 14:00;0;2;Real
12/01/2023 15:00;1;2;Real
12/01/2023 16:00;5;2;Real
12/01/2023 17:00;8;2;Real
12/01/2023 18:00;10;1;Real
12/01/2023 19:00;9;1;Real
12/01/2023 20:00;4;1;Real
12/01/2023 21:00;4;1;Real
12/01/2023 22:00;2;2;Real
12/01/2023 23:00;2;2;Real
13/01/2023 00:00;2;6;Real
13/01/2023 01:00;2;6;Real
13/01/2023 02:00;2;6;Real
13/01/2023 03:00;2;6;Real
13/01/2023 04:00;2;6;Real
13/01/2023 05:00;3;6;Real
13/01/2023 06:00;4;6;Real
13/01/2023 07:00;4;6;Real
13/01/2023 08:00;9;2;Real
13/01/2023 09:00;15;1;Real
13/01/2023 10:00;10;1;Real
13/01/2023 11:00;5;1;Real
13/01/2023 12:00;3;1;Real
13/01/2023 13:00;0;1;Real
13/01/2023 14:00;0;2;Real
13/01/2023 15:00;0;2;Real
13/01/2023 16:00;6;2;Real
13/01/2023 17:00;7;2;Real
13/01/2023 18:00;10;1;Real
13/01/2023 19:00;10;1;Real
13/01/2023 20:00;7;1;Real
13/01/2023 21:00;6;1;Real
13/01/2023 22:00;2;2;Real
13/01/2023 23:00;2;2;Real
14/01/2023 00:00;2;6;Real
14/01/2023 01:00;2;6;Real
14/01/2023 02:00;2;6;Real
14/01/2023 03:00;3;6;Real
14/01/2023 04:00;2;6;Real
14/01/2023 05:00;2;6;Real
14/01/2023 06:00;2;6;Real
14/01/2023 07:00;3;6;Real
14/01/2023 08:00;4;6;Real
14/01/2023 09:00;2;6;Real
14/01/2023 10:00;2;6;Real
14/01/2023 11:00;0;6;Real
14/01/2023 12:00;0;6;Real
14/01/2023 13:00;0;6;Real
14/01/2023 14:00;0;6;Real
14/01/2023 15:00;0;6;Real
14/01/2023 16:00;3;6;Real
14/01/2023 17:00;10;6;Real
14/01/2023 18:00;19;6;Real
14/01/2023 19:00;10;6;Real
14/01/2023 20:00;7;6;Real
14/01/2023 21:00;6;6;Real
14/01/2023 22:00;2;6;Real
14/01/2023 23:00;2;6;Real
15/01/2023 00:00;2;6;Real
15/01/2023 01:00;3;6;Real
15/01/2023 02:00;2;6;Real
15/01/2023 03:00;2;6;Real
15/01/2023 04:00;2;6;Real
15/01/2023 05:00;2;6;Real
15/01/2023 06:00;2;6;Real
15/01/2023 07:00;2;6;Real
15/01/2023 08:00;2;6;Real
15/01/2023 09:00;1;6;Real
15/01/2023 10:00;5;6;Real
